0.00,0.39,0.55,0.48,0.85,0.67,0.01,0.65,0.63,0.74,0.38,0.64,0.00,0.69,0.82,0.53,0.61,0.01,0.27,0.68,0.41,0.03,0.00,0.71,0.80,0.00,0.61,0.48,0.65
0.39,0.00,0.79,0.52,0.73,0.67,0.56,0.86,0.66,0.39,0.54,0.62,0.44,0.59,0.82,0.72,0.19,0.69,0.56,0.64,0.39,0.64,0.40,0.65,0.84,0.37,0.72,0.63,0.74
0.55,0.79,0.00,0.61,0.94,0.62,0.48,0.31,0.40,0.71,0.55,0.57,0.64,0.80,0.38,0.04,0.82,0.58,0.37,0.70,0.60,0.64,0.54,0.54,0.02,0.66,0.47,0.55,0.41
0.48,0.52,0.61,0.00,0.82,0.16,0.58,0.56,0.67,0.71,0.56,0.59,0.54,0.66,0.69,0.56,0.61,0.58,0.53,0.60,0.15,0.65,0.52,0.70,0.58,0.46,0.64,0.58,0.69
0.85,0.73,0.94,0.82,0.00,0.64,0.80,0.94,0.00,0.04,0.68,0.56,0.90,0.00,0.73,0.88,0.85,0.93,0.70,0.34,0.68,0.83,0.85,0.34,0.92,0.84,0.73,0.72,0.75
0.67,0.67,0.62,0.16,0.64,0.00,0.77,0.53,0.63,0.67,0.65,0.52,0.76,0.69,0.64,0.64,0.80,0.79,0.49,0.00,0.66,0.73,0.68,0.67,0.57,0.75,0.63,0.59,0.65
0.01,0.56,0.48,0.58,0.80,0.77,0.00,0.50,0.50,0.73,0.22,0.60,0.37,0.53,0.72,0.16,0.68,0.00,0.42,0.72,0.48,0.15,0.38,0.61,0.54,0.37,0.61,0.49,0.72
0.65,0.86,0.31,0.56,0.94,0.53,0.50,0.00,0.77,0.93,0.71,0.60,0.76,0.83,0.68,0.55,0.91,0.58,0.52,0.76,0.64,0.72,0.65,0.73,0.02,0.92,0.67,0.61,0.70
0.63,0.66,0.40,0.67,0.00,0.63,0.50,0.77,0.00,0.63,0.51,0.43,0.75,0.00,0.60,0.67,0.73,0.71,0.44,0.62,0.63,0.67,0.62,0.28,0.73,0.62,0.56,0.51,0.61
0.74,0.39,0.71,0.71,0.04,0.67,0.73,0.93,0.63,0.00,0.48,0.61,0.83,0.65,0.64,0.14,0.77,0.88,0.60,0.59,0.62,0.77,0.72,0.64,0.89,0.70,0.68,0.67,0.60
0.38,0.54,0.55,0.56,0.68,0.65,0.22,0.71,0.51,0.48,0.00,0.87,0.53,0.50,0.60,0.01,0.78,0.56,0.70,0.64,0.54,0.09,0.50,0.68,0.67,0.56,0.69,0.67,0.57
0.64,0.62,0.57,0.59,0.56,0.52,0.60,0.60,0.43,0.61,0.87,0.00,0.67,0.30,0.70,0.74,0.40,0.54,0.06,0.56,0.67,0.75,0.66,0.36,0.78,0.50,0.59,0.36,0.72
0.00,0.44,0.64,0.54,0.90,0.76,0.37,0.76,0.75,0.83,0.53,0.67,0.00,0.73,1.00,0.46,0.61,0.07,0.45,0.74,0.44,0.55,0.00,0.71,0.88,0.12,0.76,0.61,0.96
0.69,0.59,0.80,0.66,0.00,0.69,0.53,0.83,0.00,0.65,0.50,0.30,0.73,0.00,0.77,0.73,0.60,0.75,0.51,0.66,0.70,0.76,0.70,0.00,0.81,0.60,0.68,0.59,0.78
0.82,0.82,0.38,0.69,0.73,0.64,0.72,0.68,0.60,0.64,0.60,0.70,1.00,0.77,0.00,0.64,0.93,0.88,0.55,0.66,0.58,0.64,0.93,0.77,0.65,0.84,0.56,0.57,0.01
0.53,0.72,0.04,0.56,0.88,0.64,0.16,0.55,0.67,0.14,0.01,0.74,0.46,0.73,0.64,0.00,0.91,0.61,0.61,0.68,0.54,0.63,0.53,0.71,0.42,0.78,0.68,0.61,0.63
0.61,0.19,0.82,0.61,0.85,0.80,0.68,0.91,0.73,0.77,0.78,0.40,0.61,0.60,0.93,0.91,0.00,0.88,0.36,0.70,0.64,0.82,0.51,0.60,0.93,0.48,0.71,0.56,0.89
0.01,0.69,0.58,0.58,0.93,0.79,0.00,0.58,0.71,0.88,0.56,0.54,0.07,0.75,0.88,0.61,0.88,0.00,0.27,0.81,0.56,0.49,0.13,0.72,0.62,0.28,0.62,0.44,0.85
0.27,0.56,0.37,0.53,0.70,0.49,0.42,0.52,0.44,0.60,0.70,0.06,0.45,0.51,0.55,0.61,0.36,0.27,0.00,0.53,0.52,0.59,0.36,0.55,0.58,0.25,0.54,0.03,0.65
0.68,0.64,0.70,0.60,0.34,0.00,0.72,0.76,0.62,0.59,0.64,0.56,0.74,0.66,0.66,0.68,0.70,0.81,0.53,0.00,0.73,0.70,0.70,0.70,0.69,0.67,0.65,0.63,0.67
0.41,0.39,0.60,0.15,0.68,0.66,0.48,0.64,0.63,0.62,0.54,0.67,0.44,0.70,0.58,0.54,0.64,0.56,0.52,0.73,0.00,0.70,0.36,0.73,0.55,0.46,0.62,0.60,0.58
0.03,0.64,0.64,0.65,0.83,0.73,0.15,0.72,0.67,0.77,0.09,0.75,0.55,0.76,0.64,0.63,0.82,0.49,0.59,0.70,0.70,0.00,0.51,0.88,0.74,0.43,0.71,0.61,0.59
0.00,0.40,0.54,0.52,0.85,0.68,0.38,0.65,0.62,0.72,0.50,0.66,0.00,0.70,0.93,0.53,0.51,0.13,0.36,0.70,0.36,0.51,0.00,0.67,0.82,0.05,0.62,0.50,0.80
0.71,0.65,0.54,0.70,0.34,0.67,0.61,0.73,0.28,0.64,0.68,0.36,0.71,0.00,0.77,0.71,0.60,0.72,0.55,0.70,0.73,0.88,0.67,0.00,0.76,0.63,0.67,0.57,0.79
0.80,0.84,0.02,0.58,0.92,0.57,0.54,0.02,0.73,0.89,0.67,0.78,0.88,0.81,0.65,0.42,0.93,0.62,0.58,0.69,0.55,0.74,0.82,0.76,0.00,0.97,0.67,0.63,0.67
0.00,0.37,0.66,0.46,0.84,0.75,0.37,0.92,0.62,0.70,0.56,0.50,0.12,0.60,0.84,0.78,0.48,0.28,0.25,0.67,0.46,0.43,0.05,0.63,0.97,0.00,0.70,0.43,0.67
0.61,0.72,0.47,0.64,0.73,0.63,0.61,0.67,0.56,0.68,0.69,0.59,0.76,0.68,0.56,0.68,0.71,0.62,0.54,0.65,0.62,0.71,0.62,0.67,0.67,0.70,0.00,0.47,0.80
0.48,0.63,0.55,0.58,0.72,0.59,0.49,0.61,0.51,0.67,0.67,0.36,0.61,0.59,0.57,0.61,0.56,0.44,0.03,0.63,0.60,0.61,0.50,0.57,0.63,0.43,0.47,0.00,0.67
0.65,0.74,0.41,0.69,0.75,0.65,0.72,0.70,0.61,0.60,0.57,0.72,0.96,0.78,0.01,0.63,0.89,0.85,0.65,0.67,0.58,0.59,0.80,0.79,0.67,0.67,0.80,0.67,0.00